subId,012584.jpg,015405.jpg,016460.jpg,020087.jpg,023266.jpg,024060.jpg,024231.jpg,025788.jpg,028197.jpg,031763.jpg,032084.jpg,032472.jpg,034432.jpg,035472.jpg,038546.jpg,042306.jpg,043872.jpg,049463.jpg,050845.jpg,052537.jpg,053041.jpg,053394.jpg,054459.jpg,054938.jpg,056106.jpg,056648.jpg,064273.jpg,065232.jpg,066051.jpg,068350.jpg,071197.jpg,076409.jpg,076493.jpg,077010.jpg,077071.jpg,077169.jpg,077518.jpg,078190.jpg,081054.jpg,083782.jpg,084323.jpg,086142.jpg,086810.jpg,087519.jpg,088398.jpg,088677.jpg,091837.jpg,093378.jpg,098615.jpg,100006.jpg,100684.jpg,100978.jpg,101907.jpg,106149.jpg,106414.jpg,110369.jpg,113016.jpg,113079.jpg,117797.jpg,124569.jpg,124843.jpg,127601.jpg,129756.jpg,140421.jpg,142336.jpg,142657.jpg,143051.jpg,143767.jpg,144125.jpg,150552.jpg,151719.jpg,153051.jpg,154870.jpg,165401.jpg,173118.jpg,174354.jpg,176723.jpg,185343.jpg,186059.jpg,202552.jpg
A1089SKYYGN46O:3TOK3KHVJVP31NP8BZYV2CXAN2FO75,2.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,2.5,3.0,3.0,2.5,2.5,1.0,1.0,2.0,2.0,3.0,1.5,2.0,2.0,3.0,2.5,2.0,3.0,2.0,3.0,2.0,2.0,2.0,6.0,2.0,4.0,2.0,3.0,2.5,2.5,2.0,2.0,2.5,3.0,2.0,3.0,2.5,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0
A1X84T4EFW04GZ:3QY5DC2MXTRBTLOBP48GPA2G3CKFUB,7.0,4.5,7.0,8.0,7.0,5.0,7.0,6.0,5.0,6.0,6.0,6.0,8.0,4.0,5.5,6.5,4.0,3.0,8.0,3.0,5.0,6.0,5.0,3.0,9.0,9.0,5.0,8.0,3.0,4.0,2.0,6.0,6.0,3.0,5.0,7.0,7.5,7.5,8.0,6.0,2.0,1.0,2.0,4.5,8.0,6.0,7.0,7.5,5.0,5.0,3.0,5.0,1.0,6.0,2.0,7.0,7.0,6.0,6.0,6.5,8.0,5.5,4.5,6.0,6.5,6.0,4.5,7.0,4.5,5.0,4.0,6.0,8.0,6.0,3.0,9.0,7.0,6.0,3.0,7.0
A1ZOLH6MN0ZH9R:3MYYFCXHJ5EIQNQRLINGUR4Y5E3G4V,7.0,6.0,7.0,5.0,7.0,7.0,7.0,6.0,5.0,7.0,6.0,6.0,6.0,7.0,5.5,8.0,8.0,6.5,7.0,7.0,6.0,6.0,6.5,7.0,7.0,7.0,6.0,6.0,6.0,8.0,6.0,6.0,7.0,7.0,8.0,6.0,6.5,6.5,8.0,7.0,6.0,7.0,8.0,7.0,7.0,6.0,7.0,4.0,6.0,7.0,7.0,6.0,8.0,7.0,8.0,6.0,7.0,6.0,7.0,6.5,6.0,6.5,7.0,6.0,6.5,6.0,6.5,7.0,7.5,6.0,7.0,7.0,8.0,6.0,8.0,6.0,5.5,7.0,8.0,7.0
A25H8NTVN9PI9B:3M0NZ3JDP350DNPWPFUFKQQIG0R5ZD,8.0,6.5,7.0,6.0,7.0,7.0,8.0,9.0,7.0,5.0,7.0,7.0,6.0,9.0,8.0,7.5,6.0,6.5,8.0,6.0,8.0,6.0,7.0,7.0,9.0,6.0,9.0,6.0,7.0,6.0,7.0,8.0,5.0,5.5,9.0,9.0,8.5,8.0,8.0,6.0,8.0,6.0,6.0,6.5,6.0,6.0,8.0,8.0,8.0,6.0,6.0,7.0,5.0,8.0,7.0,7.0,6.0,6.0,8.0,7.0,7.0,8.0,8.0,5.0,7.0,5.0,6.5,7.0,7.5,6.0,7.0,6.0,7.0,6.0,8.0,9.0,7.5,8.0,6.0,7.0
A2C7TMRC2QHTIW:3X87C8JFV8IS5XMGEFOAM8O6PHZSQT,8.0,1.0,4.0,7.0,6.0,2.0,5.0,5.0,4.0,1.0,1.0,6.0,3.0,1.0,7.0,1.0,2.0,1.0,4.0,1.0,1.0,7.0,7.0,5.0,9.0,6.0,8.0,8.0,1.0,1.0,5.0,1.0,8.0,1.0,1.0,6.0,6.0,5.5,1.0,1.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,6.0,5.0,1.0,3.0,7.0,1.0,7.0,1.0,8.0,1.0,7.0,6.0,4.0,7.0,4.0,1.0,3.0,8.0,1.0,1.0,1.0,5.5,4.0,2.0,7.0,3.0,5.0,1.0,9.0,6.5,5.0,1.0,2.0
A2H6K1XIK4LY7O:3RXCAC0YITWJ9ODTXLDTB3K370P8GK,7.0,6.5,6.0,6.0,8.0,6.0,7.0,4.0,5.0,5.0,7.0,5.0,4.0,4.0,6.0,5.0,6.0,5.0,6.0,7.0,7.0,7.0,6.5,7.0,5.0,6.0,6.0,5.0,7.0,6.0,6.0,5.0,5.0,6.0,8.0,6.0,6.0,5.0,7.0,4.0,8.0,6.0,6.0,7.0,6.0,5.0,7.0,5.5,4.0,7.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.5,5.0,7.0,6.0,4.0,6.0,6.0,5.5,6.0,6.0,4.0,7.0,6.0,6.0,6.0,6.5,8.0,6.0,6.0
A2OD1KB2YCZ2SE:3YDTZAI2WZNLM80O3Z2DN40S3PI14E,8.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.5,9.0,9.0,8.5,9.0,8.5,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.5,9.0,8.0,8.5,8.5,8.0,9.0,9.0,9.0,8.0,8.5,9.0,9.0,8.5,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.5,8.5,8.5,8.5,9.0,8.0,8.0,8.5,8.0,8.5,8.0,8.0,8.0,9.0,9.0,8.0,9.0,8.5,8.0,9.0,8.0
A3F51C49T9A34D:31T4R4OBOUN2SYS5LUP47C3TYOPC7P,8.0,1.0,7.0,8.0,7.0,1.0,8.0,7.0,5.0,1.0,1.0,5.0,4.0,1.0,8.0,1.0,1.0,1.0,8.0,1.0,1.0,8.0,7.5,6.0,9.0,4.0,7.0,9.0,1.0,1.0,8.0,3.0,8.0,2.0,3.0,8.0,8.0,4.5,3.0,1.0,3.0,1.0,1.0,1.0,8.0,3.0,2.0,8.0,7.0,3.0,1.0,8.0,1.0,8.0,2.0,9.0,2.0,8.0,5.0,2.5,5.0,6.5,1.0,2.0,8.0,1.0,1.0,1.0,8.0,6.0,1.0,7.0,1.0,7.0,1.0,9.0,5.5,6.0,1.0,7.0
A3JLE2LJ5I17E2:3J88R45B2I5F12708CF8LBFOZ0FPX7,6.0,6.0,6.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.5,5.0,4.5,5.0,5.5,6.0,5.0,5.5,4.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,5.5,6.0,6.0,6.0,5.5,5.0,5.0,6.0,5.0,4.0,5.0,4.0,5.0,5.5,5.5,6.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,5.5,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,7.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0
A3KC385CZNYEG5:3A4TN5196MPZLNYHY3BGYPSNCRIHCT,7.0,5.0,4.0,6.0,7.0,5.0,6.0,6.0,2.0,5.0,3.0,6.0,5.0,4.0,7.5,6.0,4.0,5.5,6.0,6.0,3.0,7.0,6.0,6.0,8.0,6.0,7.0,6.0,6.0,4.0,6.0,7.0,7.0,3.0,6.0,5.0,5.5,6.0,4.0,3.0,6.0,3.0,5.0,3.0,7.0,5.0,6.0,7.0,5.0,6.0,6.0,5.0,5.0,6.0,3.0,5.0,3.0,6.0,4.0,2.5,6.0,2.0,5.5,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,6.0,5.0,9.0,6.5,5.0,4.0,4.0
A3RS7UCO7CQ74R:34S9DKFK75W4YMLXXTOI00H21RFNYM,7.0,5.5,2.0,6.0,5.0,2.0,3.0,9.0,4.0,6.0,4.0,4.0,6.0,4.0,2.0,6.0,6.0,7.0,3.0,4.5,7.0,8.0,4.5,4.0,3.0,5.0,8.0,4.0,3.0,5.0,9.0,9.0,8.0,5.0,6.0,6.0,7.0,4.0,8.0,8.0,5.0,1.0,8.0,7.0,6.0,5.0,4.5,5.5,6.0,5.0,6.0,5.0,7.0,9.0,5.0,6.0,1.0,3.0,4.0,7.5,6.5,7.5,3.5,6.0,4.0,5.0,5.5,7.0,7.0,8.0,4.0,7.0,7.0,4.0,6.0,1.0,6.5,2.0,2.0,7.0
A96CZ20YAZKZ8:3QJOXOW4XLY0AZJ6LRXOGI0MEP2EM0,6.0,1.0,6.0,7.0,6.0,3.0,6.0,6.0,6.0,2.0,2.0,5.0,6.0,1.0,5.5,5.5,4.0,1.0,7.0,4.0,2.0,7.0,4.0,6.0,9.0,5.0,5.0,6.0,3.0,2.0,5.0,2.0,6.0,2.0,4.0,6.0,7.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,8.0,4.0,1.0,6.0,5.0,5.0,5.0,4.0,2.0,5.0,2.0,8.0,2.0,6.0,5.0,5.5,6.0,5.5,2.0,4.0,5.0,2.0,1.0,4.0,5.5,4.0,2.0,5.0,5.0,5.0,1.0,8.0,5.0,6.0,1.0,5.0
ABL3H3O3BI8ZD:3TK8OJTYM3SNXD258XEQXQI3JP9VPC,6.0,5.5,6.0,6.0,6.0,4.0,6.0,6.0,7.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,6.0,4.5,5.0,5.0,6.0,5.0,5.5,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,4.0,5.5,6.0,5.0,6.0,5.5,6.0,6.0,5.0,6.0,5.0,5.5,5.0,4.0,5.5,5.0,5.0,5.0,6.0,7.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,5.5,6.0,5.5,5.0,5.5,6.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0
AJB5DI23CYKZS:3BEFOD78W80IIXMDWLLB7WOV10KM4E,6.0,1.0,6.0,6.0,7.0,2.0,6.0,6.0,4.0,1.0,2.0,2.0,4.0,1.0,7.5,2.0,1.0,1.5,7.0,3.0,3.0,7.0,6.5,5.0,9.0,3.0,8.0,7.0,3.0,4.0,5.0,6.0,7.0,3.5,7.0,6.0,4.5,2.0,5.0,1.0,5.0,1.0,1.0,1.5,8.0,4.0,1.5,6.5,3.0,2.0,1.0,5.0,1.0,6.0,1.0,6.0,5.0,6.0,7.0,2.5,4.5,5.5,1.0,5.0,6.5,2.0,2.5,1.0,5.0,4.0,1.0,8.0,1.0,7.0,1.0,9.0,6.0,6.0,3.0,6.0
AOJOJXMFTB22L:3FTF2T8WLTPFKFM3HINPX212LUY9WA,6.0,6.5,5.0,6.0,6.0,7.0,6.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,7.5,6.0,4.0,6.5,5.0,5.5,6.0,5.0,4.5,5.0,8.0,3.0,7.0,4.0,5.0,6.0,6.0,7.0,4.0,4.5,4.0,7.0,7.5,5.0,4.0,4.0,6.0,5.0,8.0,5.0,5.0,6.0,5.0,7.5,3.0,4.0,6.0,6.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.5,6.0,5.5,5.0,6.0,5.0,5.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,6.0,7.0
